employee_id,first_name,last_name,department,age,salary,hire_date
1,John,Smith,Engineering,28,85000,2020-01-15
2,Jane,Doe,Engineering,35,92000,2019-06-20
3,Bob,Johnson,Sales,42,75000,2021-03-10
4,Alice,Williams,Marketing,29,68000,2020-11-05
5,Charlie,Brown,Engineering,55,105000,2018-02-28
6,Diana,Davis,Sales,31,72000,2022-01-12
7,Edward,Miller,Marketing,48,78000,2019-09-15
8,Fiona,Wilson,Engineering,26,70000,2023-04-01
9,George,Taylor,Sales,39,82000,2020-07-22
10,Helen,Anderson,Marketing,52,88000,2017-11-30
